name,G1,G2,G3,G1A,G2A,G3A,Country
Jess Anstiss,0,0,0,0,0,0,AUS
Kiera Austin,25,18,0,26,45,6,AUS
Sophie Garbin,15,13,0,17,31,4,AUS
Tara Hinchliffe,0,0,0,0,0,0,AUS
Kim Jenner,0,0,0,0,0,0,AUS
Sarah Klau,0,0,0,0,0,0,AUS
Sam Poolman,0,0,0,0,0,0,AUS
Maddy Proud,0,0,0,0,0,0,AUS
Laura Scherian,0,0,0,0,0,0,AUS
Kaylia Stanton,28,17,3,33,41,7,AUS
Eleanor Cardwell,3,2,0,6,8,2,ENG
Amy Carter,0,0,0,0,0,0,ENG
Ella Clark,17,3,1,19,9,5,ENG
Kadeen Corbin,14,1,0,15,10,2,ENG
Sasha Corbin,0,0,0,0,1,0,ENG
Emma Dovey,0,0,0,0,0,0,ENG
Georgina Fisher,25,22,5,30,45,15,ENG
Jodie Gibson,0,0,0,0,0,0,ENG
Layla Guscoth,0,0,0,0,0,0,ENG
Natalie Panagarry,0,0,0,0,0,0,ENG
Romelda Aiken,63,3,0,65,13,4,JAM
Shanice Beckford,1,11,10,3,22,27,JAM
Stacian Facey,0,0,0,0,0,0,JAM
Thristina Harwood,0,11,1,0,20,7,JAM
Shimona Nelson,8,2,0,9,6,0,JAM
Shamera Sterling,0,0,0,0,0,0,JAM
Adean Thomas,0,0,0,0,0,0,JAM
Jodi-Ann Ward,0,0,0,0,0,0,JAM
Khadijah Williams,0,0,0,0,0,0,JAM
Vangelee Williams,0,0,0,0,0,0,JAM
Jane Chimaliro,8,9,2,10,20,7,MWI
Martha Dambo,0,0,0,0,0,0,MWI
Thandie Galleta,0,0,0,0,0,0,MWI
Joanna Kachilika,0,0,0,0,0,0,MWI
Alinafe Kamwala,1,0,0,3,3,2,MWI
Takondwa Lwazi,0,0,0,0,0,0,MWI
Jessie Mazengera,10,3,0,11,12,0,MWI
Joyce Mvula,48,4,1,56,15,8,MWI
Loreen Ngwira,0,0,0,0,0,0,MWI
Towera Vinkhumbo,0,0,0,0,0,0,MWI
Karin Burger,0,0,0,0,0,0,NZL
Aliyah Dunn,29,13,2,29,23,10,NZL
Ameliaranne Ekenasio,16,6,0,16,18,9,NZL
Monica Falkner,8,5,1,10,11,3,NZL
Sulu Fitzpatrick,0,0,0,0,0,0,NZL
Holly Fowler,0,0,0,0,0,0,NZL
Claire Kersten,0,0,0,0,0,0,NZL
Bailey Mes,20,15,0,21,33,0,NZL
Kimiora Poi,0,0,0,0,0,0,NZL
Whitney Souness,0,0,0,0,0,0,NZL
Sigrid Burger,23,22,0,25,43,0,ZAF
Khanyisa Chawane,0,0,0,0,0,0,ZAF
Zandre Erasmus,0,0,0,0,0,0,ZAF
Danelle Lochner,4,0,0,4,3,0,ZAF
Kgomotso Mamburu,0,0,0,0,0,0,ZAF
Tshina Mdau,0,0,0,0,0,0,ZAF
Monique Reyneke,0,0,0,0,0,0,ZAF
Renske Stoltz,0,27,3,0,56,16,ZAF
Shadine Van der Merwe,0,0,0,0,0,0,ZAF
Zanele Vimbela,0,0,0,0,0,0,ZAF
